Node	Period	Operationalhour	Value
Denmark	1	97	4732.75183084419
Denmark	1	98	4756.178367066298
Denmark	1	99	4740.564190109009
Denmark	1	100	4705.03513821701
Denmark	1	101	4655.695308856626
Denmark	1	102	4626.339533499464
Denmark	1	103	4616.923537541675
Denmark	1	104	4608.158878985148
Denmark	1	105	4613.552606245077
Denmark	1	106	4606.587921166448
Denmark	1	107	4596.5826513145785
Denmark	1	108	4582.438233081474
Denmark	1	109	4567.023160071851
Denmark	1	110	4537.882037481562
Denmark	1	111	4504.05031050675
Denmark	1	112	4485.334671195931
Denmark	1	113	4492.885994775556
Denmark	1	114	4501.924865982706
Denmark	1	115	4507.955435981924
Denmark	1	116	4526.294741160031
Denmark	1	117	4575.49225929376
Denmark	1	118	4631.851326369659
Denmark	1	119	4660.336104311824
Denmark	1	120	4687.213556010692
Denmark	1	121	4727.093905427365
Denmark	1	122	4747.86567842406
Denmark	1	123	4736.788067125408
Denmark	1	124	4695.218562510114
Denmark	1	125	4648.858835651639
Denmark	1	126	4611.802046387554
Denmark	1	127	4586.29961103142
Denmark	1	128	4576.114607371069
Denmark	1	129	4585.944096504087
Denmark	1	130	4583.488700765648
Denmark	1	131	4572.550369991602
Denmark	1	132	4567.042530211035
Denmark	1	133	4547.69439655952
Denmark	1	134	4513.900487475497
Denmark	1	135	4483.946873196723
Denmark	1	136	4459.826437975008
Denmark	1	137	4462.954122489744
Denmark	1	138	4468.275508209462
Denmark	1	139	4467.652501283875
Denmark	1	140	4495.163896789636
Denmark	1	141	4545.871626931429
Denmark	1	142	4602.6654020969045
Denmark	1	143	4629.623101515251
Denmark	1	144	4656.991131637123
Denmark	1	145	5233.621595617141
Denmark	1	146	5215.524614833315
Denmark	1	147	5191.15170895394
Denmark	1	148	5149.40378822671
Denmark	1	149	5132.006372537623
Denmark	1	150	5139.251595210285
Denmark	1	151	5148.6520423488655
Denmark	1	152	5152.246454979172
Denmark	1	153	5209.994242441863
Denmark	1	154	5214.014929903869
Denmark	1	155	5208.297312833641
Denmark	1	156	5151.655599849239
Denmark	1	157	5114.878294021948
Denmark	1	158	5098.775778725777
Denmark	1	159	5085.706007908414
Denmark	1	160	5069.038266680077
Denmark	1	161	5082.700407978398
Denmark	1	162	5113.364524233218
Denmark	1	163	5133.8432415187235
Denmark	1	164	5157.427901326005
Denmark	1	165	5184.284401649842
Denmark	1	166	5204.260417704152
Denmark	1	167	5231.998325245681
Denmark	1	168	5262.199007626287
Denmark	1	169	5279.148274721059
Denmark	1	170	5268.370702925273
Denmark	1	171	5238.315230703714
Denmark	1	172	5193.50959514819
Denmark	1	173	5175.117450338704
Denmark	1	174	5190.671935642592
Denmark	1	175	5209.9574787083075
Denmark	1	176	5220.773395473501
Denmark	1	177	5229.736960323211
Denmark	1	178	5228.673118019127
Denmark	1	179	5207.749414611012
Denmark	1	180	5142.5806237568095
Denmark	1	181	5086.558491686983
Denmark	1	182	5058.256082946388
Denmark	1	183	5038.763925062708
Denmark	1	184	5034.88620767563
Denmark	1	185	5084.809908374267
Denmark	1	186	5121.562573276202
