Node	Period	Season	Operationalhour	Scenario	HydroGeneratorMaxSeasonalProduction
France	1	peak2	205	scenario1	5380.0
France	1	peak2	206	scenario1	5169.0
Germany	2	winter	1	scenario1	16.135
Germany	2	winter	2	scenario1	4.865
Germany	2	winter	3	scenario1	28.2075
Germany	2	winter	4	scenario1	59.105
Germany	2	winter	5	scenario1	97.875
Germany	2	winter	6	scenario1	67.6
Germany	2	winter	7	scenario1	60.9975
Germany	2	winter	8	scenario1	36.335
Germany	2	winter	9	scenario1	40.2425
Germany	2	winter	10	scenario1	45.56
Germany	2	winter	11	scenario1	39.4575
Germany	2	winter	12	scenario1	50.5025
Germany	2	winter	13	scenario1	50.5375
Germany	2	winter	14	scenario1	56.8125
Germany	2	winter	15	scenario1	53.3525
Germany	2	winter	16	scenario1	49.2975
Germany	2	winter	17	scenario1	44.535
Germany	2	winter	18	scenario1	33.6975
Germany	2	winter	19	scenario1	44.9825
Germany	2	winter	20	scenario1	51.6525
Germany	2	winter	21	scenario1	55.195
Germany	2	winter	22	scenario1	31.9975
Germany	2	winter	23	scenario1	50.625
Germany	2	winter	24	scenario1	45.6225
Germany	2	winter	25	scenario1	34.2075
Germany	2	winter	26	scenario1	43.14
Germany	2	winter	27	scenario1	40.0825
Germany	2	winter	28	scenario1	69.075
Germany	2	winter	29	scenario1	67.5425
Germany	2	winter	30	scenario1	86.5025
Germany	2	winter	31	scenario1	146.09
Germany	2	winter	32	scenario1	135.5525
Germany	2	winter	33	scenario1	73.885
Germany	2	winter	34	scenario1	71.875
Germany	2	winter	35	scenario1	83.805
Germany	2	winter	36	scenario1	69.635
Germany	2	winter	37	scenario1	66.3175
Germany	2	winter	38	scenario1	81.0175
Germany	2	winter	39	scenario1	76.8075
Germany	2	winter	40	scenario1	77.5325
Germany	2	winter	41	scenario1	110.45
Germany	2	winter	42	scenario1	88.0875
Germany	2	winter	43	scenario1	55.2575
Germany	2	winter	44	scenario1	47.545
Germany	2	winter	45	scenario1	48.8675
Germany	2	winter	46	scenario1	59.9325
