Node	Operationalhour	Scenario	Period	ElectricLoadRaw_in_MW
Denmark	142	scenario1	1	3034.17
Denmark	143	scenario1	1	3618.48
Denmark	144	scenario1	1	4143.97
France	97	scenario1	1	39760.0
France	98	scenario1	1	42397.0
France	99	scenario1	1	43682.0
France	100	scenario1	1	44667.0
France	101	scenario1	1	46446.0
France	102	scenario1	1	44952.0
France	103	scenario1	1	43150.0
France	104	scenario1	1	41783.0
France	105	scenario1	1	40719.0
France	106	scenario1	1	40561.0
France	107	scenario1	1	41603.0
France	108	scenario1	1	42602.0
France	109	scenario1	1	42811.0
France	110	scenario1	1	42278.0
France	111	scenario1	1	42817.0
France	112	scenario1	1	43753.0
France	113	scenario1	1	40522.0
France	114	scenario1	1	37898.0
France	115	scenario1	1	36318.0
France	116	scenario1	1	34031.0
France	117	scenario1	1	32911.0
France	118	scenario1	1	32970.0
France	119	scenario1	1	33586.0
France	120	scenario1	1	33895.0
France	121	scenario1	1	35729.0
France	122	scenario1	1	38541.0
France	123	scenario1	1	40680.0
France	124	scenario1	1	42404.0
France	125	scenario1	1	44655.0
France	126	scenario1	1	42955.0
France	127	scenario1	1	40555.0
France	128	scenario1	1	39106.0
France	129	scenario1	1	37987.0
France	130	scenario1	1	38209.0
France	131	scenario1	1	40205.0
France	132	scenario1	1	42575.0
France	133	scenario1	1	43416.0
France	134	scenario1	1	42790.0
France	135	scenario1	1	42910.0
France	136	scenario1	1	43764.0
France	137	scenario1	1	40777.0
France	138	scenario1	1	38403.0
France	139	scenario1	1	37222.0
France	140	scenario1	1	35364.0
France	141	scenario1	1	35130.0
France	142	scenario1	1	37764.0
France	143	scenario1	1	42943.0
France	144	scenario1	1	47212.0
Germany	145	scenario1	1	70141.81
Germany	146	scenario1	1	69269.8275
Germany	147	scenario1	1	68206.1925
Germany	148	scenario1	1	67316.735
Germany	149	scenario1	1	66103.55
Germany	150	scenario1	1	66159.935
Germany	151	scenario1	1	68180.895
Germany	152	scenario1	1	68315.4375
Germany	153	scenario1	1	64251.5575
Germany	154	scenario1	1	60533.1125
Germany	155	scenario1	1	56924.0325
Germany	156	scenario1	1	52455.015
Germany	157	scenario1	1	48462.145
Germany	158	scenario1	1	46645.2625
Germany	159	scenario1	1	45558.885
Germany	160	scenario1	1	45995.58
Germany	161	scenario1	1	47510.89
Germany	162	scenario1	1	50948.95
Germany	163	scenario1	1	58742.7225
Germany	164	scenario1	1	65484.1025
Germany	165	scenario1	1	68025.6
