Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
France	Windoffshore	6	scenario1	1	0.5236
France	Windoffshore	7	scenario1	1	0.5494
France	Windoffshore	8	scenario1	1	0.5635
France	Windoffshore	9	scenario1	1	0.5885
France	Windoffshore	10	scenario1	1	0.5816
France	Windoffshore	11	scenario1	1	0.5593
France	Windoffshore	12	scenario1	1	0.5365
France	Windoffshore	13	scenario1	1	0.5365
France	Windoffshore	14	scenario1	1	0.5635
France	Windoffshore	15	scenario1	1	0.5607
France	Windoffshore	16	scenario1	1	0.6062
France	Windoffshore	17	scenario1	1	0.6314
France	Windoffshore	18	scenario1	1	0.6049
France	Windoffshore	19	scenario1	1	0.5479
France	Windoffshore	20	scenario1	1	0.5308
France	Windoffshore	21	scenario1	1	0.6301
France	Windoffshore	22	scenario1	1	0.7312
France	Windoffshore	23	scenario1	1	0.7704
France	Windoffshore	24	scenario1	1	0.814
France	Windoffshore	25	scenario1	1	0.7816
France	Windoffshore	26	scenario1	1	0.7508
France	Windoffshore	27	scenario1	1	0.7269
France	Windoffshore	28	scenario1	1	0.716
France	Windoffshore	29	scenario1	1	0.6838
France	Windoffshore	30	scenario1	1	0.6766
France	Windoffshore	31	scenario1	1	0.7093
France	Windoffshore	32	scenario1	1	0.6826
France	Windoffshore	33	scenario1	1	0.6569
France	Windoffshore	34	scenario1	1	0.6392
France	Windoffshore	35	scenario1	1	0.6142
France	Windoffshore	36	scenario1	1	0.5775
France	Windoffshore	37	scenario1	1	0.4727
France	Windoffshore	38	scenario1	1	0.4317
France	Windoffshore	39	scenario1	1	0.6022
France	Windoffshore	40	scenario1	1	0.6008
France	Windoffshore	41	scenario1	1	0.643
France	Windoffshore	42	scenario1	1	0.707
France	Windoffshore	43	scenario1	1	0.728
France	Windoffshore	44	scenario1	1	0.6494
France	Windoffshore	45	scenario1	1	0.5981
France	Windoffshore	46	scenario1	1	0.6314
France	Windoffshore	47	scenario1	1	0.6116
France	Windoffshore	48	scenario1	1	0.5719
Germany	Hydrorun-of-the-river	1	scenario1	1	0.579095082
Germany	Hydrorun-of-the-river	2	scenario1	1	0.581316617
Germany	Hydrorun-of-the-river	3	scenario1	1	0.584582656
Germany	Hydrorun-of-the-river	4	scenario1	1	0.586251422
Germany	Hydrorun-of-the-river	5	scenario1	1	0.585913135
Germany	Hydrorun-of-the-river	6	scenario1	1	0.58042033
Germany	Hydrorun-of-the-river	7	scenario1	1	0.572862928
Germany	Hydrorun-of-the-river	8	scenario1	1	0.56711728
Germany	Hydrorun-of-the-river	9	scenario1	1	0.561843316
Germany	Hydrorun-of-the-river	10	scenario1	1	0.552196904
Germany	Hydrorun-of-the-river	11	scenario1	1	0.545833969
Germany	Hydrorun-of-the-river	12	scenario1	1	0.548026732
Germany	Hydrorun-of-the-river	13	scenario1	1	0.540876495
Germany	Hydrorun-of-the-river	14	scenario1	1	0.538280055
Germany	Hydrorun-of-the-river	15	scenario1	1	0.523715403
Germany	Hydrorun-of-the-river	16	scenario1	1	0.517743068
Germany	Hydrorun-of-the-river	17	scenario1	1	0.519286284
Germany	Hydrorun-of-the-river	18	scenario1	1	0.516008039
Germany	Hydrorun-of-the-river	19	scenario1	1	0.522455545
Germany	Hydrorun-of-the-river	20	scenario1	1	0.529461923
Germany	Hydrorun-of-the-river	21	scenario1	1	0.525402479
Germany	Hydrorun-of-the-river	22	scenario1	1	0.526094747
Germany	Hydrorun-of-the-river	23	scenario1	1	0.525459151
Germany	Hydrorun-of-the-river	24	scenario1	1	0.527300548
Germany	Hydrorun-of-the-river	25	scenario1	1	0.526788758
