Country,Energy_Type,Period,Type,Value
Germany,Bio,2,Generation,0.10430970410290011
Germany,Bio,3,Generation,24178.812853405965
Germany,Bio,4,Generation,105561.47268363688
Germany,Bio,5,Generation,67334.74345962523
Germany,Bio,6,Generation,1460.248153598439
Germany,Bio,7,Generation,1460.2940567018884
Germany,Bio,8,Generation,0.04322547595807254
France,Bio,1,Generation,4.9030583382662485
France,Bio,2,Generation,0.7984091742698305
France,Bio,3,Generation,14.048498398787409
France,Bio,4,Generation,37141.2005248986
France,Bio,5,Generation,7654.91035580347
France,Bio,6,Generation,65257.83270657802
France,Bio,7,Generation,44412.904107190465
France,Bio,8,Generation,0.3765388650487293
Germany,Windonshore,1,Generation,0.6248902561492287
Germany,Windonshore,2,Generation,0.6129237685194022
Germany,Windonshore,3,Generation,1.7135222082185946
Germany,Windonshore,4,Generation,0.02904401086815494
Germany,Windonshore,5,Generation,51366.91611867051
Germany,Windonshore,6,Generation,27815.729190734426
Germany,Windonshore,7,Generation,27815.513583567496
Germany,Windonshore,8,Generation,1.8064719933255875
Denmark,Windonshore,1,Generation,0.3159283680470253
Denmark,Windonshore,2,Generation,0.07787654515696511
Denmark,Windonshore,3,Generation,0.3686352376815303
Denmark,Windonshore,4,Generation,0.03694028234370984
Denmark,Windonshore,5,Generation,49656.212367324944
Denmark,Windonshore,6,Generation,0.20410576136144085
Denmark,Windonshore,7,Generation,5342.996854860333
Denmark,Windonshore,8,Generation,0.5238885512138978
France,Windonshore,1,Generation,0.4202216517746876
France,Windonshore,2,Generation,0.08281670068405475
France,Windonshore,3,Generation,66350.24389141121
France,Windonshore,4,Generation,32334.589017969807
France,Windonshore,5,Generation,430423.40813139756
France,Windonshore,6,Generation,1.0531904638629437
France,Windonshore,7,Generation,283878.3592099284
France,Windonshore,8,Generation,66356.87274491202
Germany,Windoffshore,1,Generation,0.0
Germany,Windoffshore,2,Generation,0.0
Germany,Windoffshore,3,Generation,0.0
Germany,Windoffshore,4,Generation,0.0
Germany,Windoffshore,5,Generation,0.0
Germany,Windoffshore,6,Generation,2260.2352725892342
Germany,Windoffshore,7,Generation,0.01738494829468914
Germany,Windoffshore,8,Generation,0.015336091603360646
Denmark,Windoffshore,1,Generation,0.030702107201705076
Denmark,Windoffshore,2,Generation,0.0030963157212533917
Denmark,Windoffshore,3,Generation,0.20452943300229695
Denmark,Windoffshore,4,Generation,0.014889474857163671
Denmark,Windoffshore,5,Generation,0.7713786965241727
Denmark,Windoffshore,6,Generation,10.671168928117739
Denmark,Windoffshore,7,Generation,11569.558713176984
Denmark,Windoffshore,8,Generation,1.4766451490657426
France,Windoffshore,1,Generation,1.9725509416487041
France,Windoffshore,2,Generation,0.021131441125270364
France,Windoffshore,3,Generation,57897.45657093642
France,Windoffshore,4,Generation,0.1739538397710806
France,Windoffshore,5,Generation,0.04237343609108581
France,Windoffshore,6,Generation,0.017110364881128336
France,Windoffshore,7,Generation,2.1427177369366506
France,Windoffshore,8,Generation,45041.412069030615
Germany,Solar,1,Generation,0.3851032570965084
Germany,Solar,2,Generation,0.35543952371622634
Germany,Solar,3,Generation,31437.32138524789
Germany,Solar,4,Generation,8.886561990794648
Germany,Solar,5,Generation,499998.16571361484
Germany,Solar,6,Generation,499996.4364516958
Germany,Solar,7,Generation,341559.02524936455
Germany,Solar,8,Generation,31437.184044908645
Denmark,Solar,1,Generation,0.1004268707420124
Denmark,Solar,2,Generation,0.010971412160114843
Denmark,Solar,3,Generation,1.1511132955868328
Denmark,Solar,4,Generation,0.0188880786970346
Denmark,Solar,5,Generation,1.30410004989194
Denmark,Solar,6,Generation,1710.0446032414213
Denmark,Solar,7,Generation,80144.45209145965
Denmark,Solar,8,Generation,10664.54179427913
France,Solar,1,Generation,0.31068525327507523
France,Solar,2,Generation,0.07072933457645478
France,Solar,3,Generation,39338.310321867335
France,Solar,4,Generation,0.11417429728651443
France,Solar,5,Generation,3.0984978108688233
France,Solar,6,Generation,289558.4648812296
France,Solar,7,Generation,3945.410387005596
France,Solar,8,Generation,1.4792344316667578
Germany,Bio10cofiringCCS,1,Generation,0.0
Germany,Bio10cofiringCCS,2,Generation,0.0
Germany,Bio10cofiringCCS,3,Generation,0.0
Germany,Bio10cofiringCCS,4,Generation,0.0
Germany,Bio10cofiringCCS,5,Generation,0.0
Germany,Bio10cofiringCCS,6,Generation,0.0
Germany,Bio10cofiringCCS,7,Generation,0.0
Germany,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
France,Bio10cofiringCCS,1,Generation,0.0
France,Bio10cofiringCCS,2,Generation,0.0
France,Bio10cofiringCCS,3,Generation,0.0
France,Bio10cofiringCCS,4,Generation,0.0
France,Bio10cofiringCCS,5,Generation,0.0
France,Bio10cofiringCCS,6,Generation,0.0
France,Bio10cofiringCCS,7,Generation,0.0
France,Bio10cofiringCCS,8,Generation,0.0
Germany,LigniteCCSsup,1,Generation,0.0
Germany,LigniteCCSsup,2,Generation,0.0
Germany,LigniteCCSsup,3,Generation,0.0
Germany,LigniteCCSsup,4,Generation,0.0
Germany,LigniteCCSsup,5,Generation,0.0
Germany,LigniteCCSsup,6,Generation,0.0
Germany,LigniteCCSsup,7,Generation,0.0
Germany,LigniteCCSsup,8,Generation,0.0
Germany,CoalCCS,1,Generation,0.0
Germany,CoalCCS,2,Generation,0.0
Germany,CoalCCS,3,Generation,0.0
Germany,CoalCCS,4,Generation,0.0
Germany,CoalCCS,5,Generation,0.0
Germany,CoalCCS,6,Generation,0.0
Germany,CoalCCS,7,Generation,0.0
Germany,CoalCCS,8,Generation,0.0
France,CoalCCS,1,Generation,0.0
France,CoalCCS,2,Generation,0.0
France,CoalCCS,3,Generation,0.0
