seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
41,80,48,96,64,2,0,0.030610907893133938,99.99360936987452
33,5,3,6,4,257,8,0.4471049478690908,4.2160278245733265
33,10,6,12,8,2,0,0.9790746839967404,32.35446287315407
33,20,12,24,16,2,0,0.05717486129961769,91.79875652479586
33,40,24,48,32,2,0,0.009422268389747747,100.01939691498829
33,80,48,96,64,2,0,0.048925852933850406,99.99353153787939
31,5,3,6,4,513,9,0.7496631403189726,0.4075089182662571
31,10,6,12,8,2,0,0.4629277216373172,27.524833867588526
31,20,12,24,16,2,0,0.19663294612279567,57.41397657308084
31,40,24,48,32,2,0,0.041554310009368246,100.01553527605014
31,80,48,96,64,2,0,0.07093223284890465,99.99451676114217
43,5,3,6,4,257,8,0.9868911316843982,0.6977423001464013
43,10,6,12,8,2,0,0.08146001525959316,19.66024215575384
43,20,12,24,16,2,0,0.9875050075277163,100.05056489951288
43,40,24,48,32,2,0,0.030125697632014274,100.01680450777303
43,80,48,96,64,2,0,0.12706844497032563,99.99352494303075
100,5,3,6,4,1025,10,0.7038577951215851,1.5794860738701517
100,10,6,12,8,129,7,0.005362202305234038,3.1032119275638728
100,20,12,24,16,2,0,0.07251428134771704,85.17791321965356
100,40,24,48,32,2,0,0.12827512798591906,100.0173857625773
100,80,48,96,64,2,0,0.004225401828439621,99.99395265849988
61,5,3,6,4,2,0,0.0,25.278369773663094
61,10,6,12,8,2,0,0.0,15.709295006980517
61,20,12,24,16,2,0,0.23752821125158102,100.0407386650694
61,40,24,48,32,2,0,0.13262735112661028,100.02075361119567
61,80,48,96,64,2,0,0.14010791194608654,99.99376174201437
