seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
44,10,6,12,8,10,2,0,0.0,21.7082910601712
44,40,24,48,32,10,2,0,0.0,100.01587007376583
31,5,3,6,4,10,2,0,2.546297560644726,28.711891571201026
31,10,6,12,8,10,2,0,0.19663228969290752,6.169693125215591
31,40,24,48,32,10,2,0,0.03220930829671892,100.01589055253291
76,5,3,6,4,10,2,0,2.5234328452249075,17.96096022225505
76,10,6,12,8,10,2,0,0.0,22.004659076354805
76,40,24,48,32,10,2,0,0.012141369712694961,100.0176584430854
61,5,3,6,4,10,2,0,0.0,37.3497189059019
61,10,6,12,8,10,2,0,0.0,5.733607885699254
61,40,24,48,32,10,2,0,0.09691096570342653,100.01568386749608
59,5,3,6,4,10,2,0,1.3853213536951543,12.658240532802933
59,10,6,12,8,10,2,0,0.0,5.3397621690027774
59,40,24,48,32,10,2,0,0.06460651618583935,100.01550545466431
8,5,3,6,4,10,2,0,0.08166385396691334,18.050246365385934
8,10,6,12,8,10,2,0,0.5866810356612869,2.6624972659846473
8,40,24,48,32,10,2,0,0.4331967547054537,100.01880789106245
54,5,3,6,4,10,2,0,1.8364548855018963,0.2912503333295591
54,10,6,12,8,10,2,0,0.0,13.485272903852575
54,40,24,48,32,10,2,0,0.01182969053926085,100.01832230776114
19,5,3,6,4,10,2,0,0.07095837316429505,32.81655288570761
19,10,6,12,8,10,2,0,2.103251267641437e-14,6.386004227079504
19,40,24,48,32,10,2,0,0.22106495623955613,100.01677153340384
