seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
47,40,24,48,32,10,2,0,0.19080933069562603,100.01410175246299
92,5,3,6,4,10,2,0,0.0,8.527146514688067
92,10,6,12,8,10,2,0,0.0,40.926960136711585
92,40,24,48,32,10,2,0,0.00274148570353883,100.01600157291817
10,5,3,6,4,10,2,0,0.0,2.8488023162512475
10,10,6,12,8,10,2,0,2.523418280080015,4.127012488898465
10,40,24,48,32,10,2,0,0.24214745540299365,100.016325916164
31,5,3,6,4,10,2,0,2.441981592466911,28.768220163072357
31,10,6,12,8,10,2,0,0.18713688015861069,5.156872632870307
31,40,24,48,32,10,2,0,0.037491902281109546,100.01795498995789
9,5,3,6,4,10,2,0,1.3105286999362737,20.415340558716164
9,10,6,12,8,10,2,0,0.17136858095177693,22.442300644824154
9,40,24,48,32,10,2,0,0.027242229704511893,100.01590088036426
17,5,3,6,4,10,2,0,1.7510653841875623,2.3440227894810373
17,10,6,12,8,10,2,0,0.03697414342301467,41.47082585353326
17,40,24,48,32,10,2,0,0.3121783567893038,100.01671002921636
36,5,3,6,4,10,2,0,0.0,8.066797539020182
36,10,6,12,8,10,513,9,2.542061468763927,3.1484029926953547
36,40,24,48,32,10,2,0,0.18812140067112296,100.01933240212185
3,5,3,6,4,10,2,0,0.0,22.150504521877195
3,10,6,12,8,10,2,0,1.0607269359026195,23.11826558568921
3,40,24,48,32,10,2,0,0.10585202972433104,100.01628071477006
81,5,3,6,4,10,2,0,1.3086462824492868,36.11989069472376
81,10,6,12,8,10,2,0,0.6847064070157994,47.68335303271568
81,40,24,48,32,10,2,0,0.17317780549730558,100.01762482671612
22,5,3,6,4,10,2,0,0.0,13.231183957903461
22,10,6,12,8,10,2,0,0.0,99.9658424989913
22,40,24,48,32,10,2,0,0.20820286453852285,100.01642113733176
84,5,3,6,4,10,2,0,1.9539836131871103e-14,19.320796902146586
84,10,6,12,8,10,2,0,1.576604750378326,21.377501612907306
84,40,24,48,32,10,2,0,0.46029824470931596,100.01986674356829
70,5,3,6,4,10,2,0,0.3235897412214626,11.938737951158151
70,10,6,12,8,10,2,0,0.0,10.779387656524458
70,40,24,48,32,10,2,0,0.26675620531809296,100.01919174313205
100,5,3,6,4,10,65,6,2.33852399530762,4.820645620414334
100,10,6,12,8,10,2,0,0.6291462331662442,29.075066620649675
100,40,24,48,32,10,2,0,0.24138723985349253,100.01688149777715
79,5,3,6,4,10,257,8,1.1630247053425948,4.012641849762435
79,10,6,12,8,10,2,0,0.4338010299681748,14.200233271657511
79,40,24,48,32,10,2,0,0.783171247264566,100.018181303714
74,5,3,6,4,10,2,0,0.0,23.476684859006504
74,10,6,12,8,10,2,0,0.5637444581572457,62.64793902747815
74,40,24,48,32,10,2,0,0.10830754952923068,100.01697964144935
67,5,3,6,4,10,513,9,4.490669249794673,4.711302015192504
67,10,6,12,8,10,257,8,0.0,6.981560405395084
67,40,24,48,32,10,2,0,0.08103366960855213,100.01747777802575
20,5,3,6,4,10,2,0,2.885972667536142,2.02292886575682
20,10,6,12,8,10,2,0,0.0,35.46877678622393
20,40,24,48,32,10,2,0,0.018665664462291225,100.01733390637395
24,5,3,6,4,10,2,0,0.0,0.5501975385012717
24,10,6,12,8,10,2,0,1.559652984184751,32.021379044126995
24,40,24,48,32,10,2,0,0.027602190265174863,100.01753291372222
4,5,3,6,4,10,33,5,2.719476535185441,3.5008932775880424
4,10,6,12,8,10,2,0,0.43020595244369025,54.151930246045666
4,40,24,48,32,10,2,0,0.5123721002819464,100.01878651352027
95,5,3,6,4,10,2,0,0.0,38.0780486596349
95,10,6,12,8,10,2,0,0.0,25.13198501170151
95,40,24,48,32,10,2,0,1.1012376401713797,100.01533371122721
