seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
71,10,6,12,8,2,0,1.8465426039626809,90.94610635418574
71,20,12,24,16,2,0,1.7881948209507055,99.99868370462491
71,40,24,48,32,2,0,0.8142560485100947,100.0223492981196
71,80,48,96,64,2,0,0.14967454854317605,99.99623049837348
37,5,3,6,4,2,0,0.9372834031692714,61.43291567233212
37,10,6,12,8,2,0,2.0679659934567324e-14,82.25225298323777
37,20,12,24,16,2,0,0.4845098875162441,99.99791704952389
37,40,24,48,32,2,0,2.013613524348827,100.02088475029329
37,80,48,96,64,2,0,1.0095593343389295,99.99548120783712
41,5,3,6,4,129,7,2.866214084590527,6.024941215539446
41,10,6,12,8,33,5,1.2468560827462329e-14,7.67613863161774
41,20,12,24,16,2,0,2.166415859121781,99.9984318511055
41,40,24,48,32,2,0,0.0868349309497161,100.02046620650316
41,80,48,96,64,2,0,0.9195848062226699,99.99599762987124
8,5,3,6,4,2,0,0.0,56.0842529520084
8,10,6,12,8,9,3,0.34757187035814996,10.594031185866521
8,20,12,24,16,2,0,0.26551734151155204,99.99869046326434
8,40,24,48,32,2,0,1.8924761601411428,100.02344835133525
8,80,48,96,64,2,0,0.798652725093473,99.9959743218979
14,5,3,6,4,2,0,0.24334929897134708,13.690276627818418
14,10,6,12,8,2,0,2.2225202501016532e-14,45.97842686592581
14,20,12,24,16,2,0,0.34601751492104516,99.9977086596594
14,40,24,48,32,2,0,0.4523962766664376,100.02290828658332
14,80,48,96,64,2,0,0.12898734854816837,99.99616250983456
34,5,3,6,4,2,0,0.0,53.27456790648088
34,10,6,12,8,2,0,0.656309704457234,99.99854927210907
34,20,12,24,16,2,0,2.0190256258875063,99.99753120744205
34,40,24,48,32,2,0,1.3642743730605054,100.02259880514224
34,80,48,96,64,2,0,0.6551497300611991,99.9957121136912
65,5,3,6,4,2,0,1.1108951353134132e-14,25.60782956705096
65,10,6,12,8,2,0,0.0,61.572967057059955
65,20,12,24,16,2,0,1.7992996916691928,99.99736079478764
65,40,24,48,32,2,0,1.8205904297872728,100.02273702605424
65,80,48,96,64,2,0,0.50631232698628,99.99599291509057
18,5,3,6,4,2,0,0.0,66.68948657328706
18,10,6,12,8,2,0,2.3261707013634663,86.53719576279424
18,20,12,24,16,2,0,0.21990775700648318,99.99735845604471
18,40,24,48,32,2,0,0.47520208399441666,100.02245989772493
18,80,48,96,64,2,0,0.37312232316441835,99.99615039859175
50,5,3,6,4,2,0,2.086021929480114e-14,9.547738807322476
50,10,6,12,8,2,0,0.046634444197837015,84.05345079607396
50,20,12,24,16,2,0,0.7568835183225087,99.99591889332731
50,40,24,48,32,2,0,0.4104927472640008,100.02032406831121
50,80,48,96,64,2,0,0.272512771580264,99.9960408712479
20,5,3,6,4,2,0,0.0,35.47983009031692
20,10,6,12,8,2,0,0.0,98.06662399287072
