seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
88,40,24,48,32,10,2,0,0.0,100.0165856449797
88,80,48,96,64,10,2,0,0.19110057615013862,99.99298750671628
57,5,3,6,4,10,2,0,0.0,39.26975752218391
57,10,6,12,8,10,2,0,1.0785501464270089,11.52066119631763
57,20,12,24,16,10,2,0,0.0,97.14124395631416
57,40,24,48,32,10,2,0,0.01559376228640728,100.01736080193145
57,80,48,96,64,10,2,0,0.03709922358509927,99.99397022876894
60,5,3,6,4,10,2,0,0.0,23.163645374384977
60,10,6,12,8,10,2,0,1.964743627979953,1.8136923123108561
60,20,12,24,16,10,2,0,0.08391869900894905,86.74089305635414
60,40,24,48,32,10,2,0,0.0,100.01787365339713
60,80,48,96,64,10,2,0,0.3200397378735305,99.9937680365215
3,5,3,6,4,10,2,0,0.0,10.091889759776073
3,10,6,12,8,10,2,0,1.1351503858780843,5.424766810948269
3,20,12,24,16,10,2,0,0.0,40.62751570966532
3,40,24,48,32,10,2,0,0.0867415094881094,100.01618692813277
3,80,48,96,64,10,2,0,0.17423444891193646,99.9932534995162
36,5,3,6,4,10,2,0,0.04252778563529383,2.836243562923906
36,10,6,12,8,10,257,8,13.069719506160112,2.3067071974698403
36,20,12,24,16,10,2,0,0.6544163488601265,91.64534422862451
36,40,24,48,32,10,2,0,0.12730334748053235,100.01753720840662
36,80,48,96,64,10,2,0,0.1528522063926539,99.99417458701645
80,5,3,6,4,10,2,0,0.0,15.743561283910276
80,10,6,12,8,10,2,0,0.03376549247485925,13.485362048768199
80,20,12,24,16,10,2,0,0.5596162524236096,87.22438533740505
80,40,24,48,32,10,2,0,0.2027300771420755,100.01626218522229
80,80,48,96,64,10,2,0,0.0012298421342290021,99.99353392757216
41,5,3,6,4,10,2,0,0.942287353702822,9.911073700787778
41,10,6,12,8,10,2,0,0.46119440808329815,18.35803610023043
41,20,12,24,16,10,2,0,0.26954273185443567,90.33788480303157
41,40,24,48,32,10,2,0,0.041307371387083326,100.01647290837651
41,80,48,96,64,10,2,0,0.01677642824741842,99.9932904250069
32,5,3,6,4,10,2,0,1.5240899406285546,31.64921659407102
32,10,6,12,8,10,2,0,0.0,4.1737310257370375
32,20,12,24,16,10,2,0,1.1759869011134372,85.19054875417574
32,40,24,48,32,10,2,0,0.04781607244279509,100.01893105634481
32,80,48,96,64,10,2,0,0.0,99.99378669080063
26,5,3,6,4,10,2,0,0.023356508573781985,35.63121065726768
26,10,6,12,8,10,2,0,0.5205106838613267,10.484255913310324
26,20,12,24,16,10,2,0,0.13789536782223052,73.82645393953209
26,40,24,48,32,10,2,0,0.3222425493372648,100.01639667962459
26,80,48,96,64,10,2,0,0.025547825224346527,99.99397973879857
90,5,3,6,4,10,257,8,3.5674905798816723,6.56761944763993
90,10,6,12,8,10,2,0,0.09667858252926347,11.317797711251185
90,20,12,24,16,10,2,0,0.28427425401414136,100.064421422707
90,40,24,48,32,10,2,0,0.2619835147440786,100.01526907693963
90,80,48,96,64,10,2,0,0.015455012364387578,99.99377632205666
38,5,3,6,4,10,2,0,0.0,17.236439894497263
38,10,6,12,8,10,2,0,0.45059710740959524,11.241642990718983
38,20,12,24,16,10,2,0,0.17945777623416856,71.54912265714877
38,40,24,48,32,10,2,0,0.1385491715865279,100.0163043892474
38,80,48,96,64,10,2,0,0.39847356192443245,99.99333866644348
27,5,3,6,4,10,2,0,2.5072975815696448,1.0532382096441693
27,10,6,12,8,10,2,0,0.0,25.800333066664432
27,20,12,24,16,10,2,0,0.25572215473778664,81.99845692028974
27,40,24,48,32,10,2,0,0.27470484114335025,100.01676690876079
27,80,48,96,64,10,2,0,0.1008188668036936,99.99334246994933
48,5,3,6,4,10,2,0,0.0,12.6192909082854
48,10,6,12,8,10,2,0,1.143066833658541e-14,23.872709392048208
48,20,12,24,16,10,2,0,0.26154508647477553,85.36855868476533
48,40,24,48,32,10,2,0,0.5778514947910044,100.01852553433463
48,80,48,96,64,10,2,0,0.26588935218938003,99.99367748438463
30,5,3,6,4,10,2,0,1.0447056534453187,23.146908959662525
30,10,6,12,8,10,2,0,0.8168672790186368,11.035147467779689
30,20,12,24,16,10,2,0,0.08471473636299533,82.20646141641303
30,40,24,48,32,10,2,0,0.6956575699211648,100.01933913301582
30,80,48,96,64,10,2,0,0.08092914814021873,99.99379175162846
94,5,3,6,4,10,2,0,0.836609015300759,9.13833102432914
94,10,6,12,8,10,2,0,2.952051430374594,18.11974695566514
94,20,12,24,16,10,2,0,0.16730069840668685,84.70994480959897
94,40,24,48,32,10,2,0,0.0,100.0178020611472
94,80,48,96,64,10,2,0,0.0764055269338146,99.99403061047167
67,5,3,6,4,10,257,8,6.6608107672845644,6.875071779123131
67,10,6,12,8,10,2,0,2.073574390797263e-14,20.778523341937483
67,20,12,24,16,10,2,0,2.1419881808060512e-14,100.05880145622979
67,40,24,48,32,10,2,0,0.21336520815527915,100.01856164404342
67,80,48,96,64,10,2,0,0.11445349663444825,99.99396992993637
50,5,3,6,4,10,2,0,0.0,9.714919091794199
50,10,6,12,8,10,2,0,0.001110526397984783,13.690242115963407
50,20,12,24,16,10,2,0,0.09710131633945744,88.15170139303956
50,40,24,48,32,10,2,0,0.0,100.01670966906195
50,80,48,96,64,10,2,0,0.005638346739262664,99.99378890463049
56,5,3,6,4,10,2,0,0.0,24.062582226744468
56,10,6,12,8,10,2,0,0.44993969004220347,14.37749630119696
56,20,12,24,16,10,2,0,0.12954424416891375,59.19146713773539
56,40,24,48,32,10,2,0,0.04943796788148148,100.0177007065038
56,80,48,96,64,10,2,0,0.13140791738002805,99.99343467953248
24,5,3,6,4,10,2,0,0.0,13.83546558734963
24,10,6,12,8,10,2,0,1.9645603991852814,0.29406738801918086
24,20,12,24,16,10,2,0,0.28566427059209343,40.96263764432401
24,40,24,48,32,10,2,0,0.04189030287671571,100.01785044502431
24,80,48,96,64,10,2,0,0.3995152208467114,99.99357453493826
29,5,3,6,4,10,2,0,0.0,6.990407244596825
29,10,6,12,8,10,2,0,0.0,4.669637875980278
29,20,12,24,16,10,2,0,0.0,57.58132002057138
29,40,24,48,32,10,2,0,1.3331361766017302,100.01654369633673
29,80,48,96,64,10,2,0,0.04569487807035033,99.993995520054
96,5,3,6,4,10,2,0,0.0,13.133313027494337
96,10,6,12,8,10,2,0,0.6670020242017651,27.884109873864144
96,20,12,24,16,10,2,0,1.5260032204701437,52.65084176262837
96,40,24,48,32,10,2,0,0.5137826171650843,100.01656224822474
96,80,48,96,64,10,2,0,0.21642498810808702,99.99382029277038
6,5,3,6,4,10,2,0,0.0,19.69213681748369
6,10,6,12,8,10,2,0,0.0,20.498464126495204
6,20,12,24,16,10,2,0,0.11524395918890175,72.44858370916032
6,40,24,48,32,10,2,0,0.7576361529596084,100.01826989490388
6,80,48,96,64,10,2,0,0.009102413155079696,99.99298116530268
66,5,3,6,4,10,2,0,0.0,40.745567951082364
66,10,6,12,8,10,2,0,0.0,26.276883431717607
66,20,12,24,16,10,2,0,0.0,43.87443566963165
66,40,24,48,32,10,2,0,0.24999064993289732,100.01739663493079
66,80,48,96,64,10,2,0,0.22778520294691115,99.99329717766953
18,5,3,6,4,10,2,0,0.9534654505036754,30.134203751734685
18,10,6,12,8,10,2,0,2.320605024392476,17.945334299177038
18,20,12,24,16,10,2,0,0.028327396032809208,93.370101678269
18,40,24,48,32,10,2,0,0.13393049018239198,100.01539815698696
18,80,48,96,64,10,2,0,0.0,99.99374830559185
23,5,3,6,4,10,2,0,0.0,12.432948554227407
23,10,6,12,8,10,2,0,0.3757252382951803,2.187715444183132
23,20,12,24,16,10,2,0,0.2806509821938267,97.38582302533962
23,40,24,48,32,10,2,0,0.16409181383592092,100.01881133846607
23,80,48,96,64,10,2,0,0.35859728548198533,99.99368375815538
44,5,3,6,4,10,2,0,0.0,24.661378151794906
44,10,6,12,8,10,2,0,0.0,21.7082910601712
44,20,12,24,16,10,2,0,0.0,54.646834959758905
44,40,24,48,32,10,2,0,0.0,100.01587007376583
44,80,48,96,64,10,2,0,0.7140903697339521,99.99362685311579
17,5,3,6,4,10,2,0,2.1020031569609228,21.586290944777613
17,10,6,12,8,10,2,0,1.049321548133525,12.603134575804228
17,20,12,24,16,10,2,0,2.065265625955547e-14,81.21973647760962
17,40,24,48,32,10,2,0,0.19478252778939592,100.01899885476232
17,80,48,96,64,10,2,0,0.14294357332949204,99.99388478073283
98,5,3,6,4,10,2,0,0.0,29.014374103880634
98,10,6,12,8,10,2,0,0.9042139123200406,1.5379296344370803
98,20,12,24,16,10,2,0,0.1149338729016408,82.24301834317149
98,40,24,48,32,10,2,0,0.15697291752751955,100.01810923215774
98,80,48,96,64,10,2,0,0.15308084565277463,99.99305871276086
100,5,3,6,4,10,257,8,2.790700587686652,4.551436604948203
100,10,6,12,8,10,2,0,0.3435651262586288,15.960399604240525
100,20,12,24,16,10,2,0,0.08059959012075403,86.97102244692877
100,40,24,48,32,10,2,0,0.2836600066785725,100.01652432405214
100,80,48,96,64,10,2,0,0.007590430742682594,99.99333208951884
1,5,3,6,4,10,2,0,1.0131948762851466,24.878658876439875
1,10,6,12,8,10,2,0,0.0,9.036416134768444
1,20,12,24,16,10,2,0,0.010861309415531092,80.14528144767321
1,40,24,48,32,10,2,0,0.36074235495052853,100.01622594306122
1,80,48,96,64,10,2,0,0.3152307727113776,99.99389249355139
