Unnamed:_1	Unnamed:_2	Unnamed:_3	Unnamed:_4	Unnamed:_5
France	Bio10cofiringCCS	3	1	0.8000000000000006
Germany	LigniteCCSsup	3	1	0.8000000000000006
Germany	CoalCCS	3	1	0.8000000000000006
France	CoalCCS	3	1	0.8000000000000006
Germany	GasCCS	3	1	0.8499999999999984
France	GasCCS	3	1	0.8499999999999984
Germany	Waste	3	1	0.9499999999999981
Denmark	Waste	3	1	0.9499999999999981
France	Waste	3	1	0.9499999999999981
Germany	Liginiteexisting	4	1	0.7499999999999988
Germany	Lignite	4	1	0.8000000000000006
Germany	LigniteCCSadv	4	1	0.8000000000000006
Germany	Coalexisting	4	1	0.7499999999999988
Denmark	Coalexisting	4	1	0.7499999999999988
France	Coalexisting	4	1	0.7499999999999988
Germany	Coal	4	1	0.7499999999999988
Denmark	Coal	4	1	0.7499999999999988
France	Coal	4	1	0.7499999999999988
Germany	CoalCCSadv	4	1	0.8000000000000006
Denmark	CoalCCSadv	4	1	0.8000000000000006
France	CoalCCSadv	4	1	0.8000000000000006
Germany	Gasexisting	4	1	0.8000000000000006
Denmark	Gasexisting	4	1	0.8000000000000006
France	Gasexisting	4	1	0.8000000000000006
Germany	GasOCGT	4	1	0.8499999999999984
Denmark	GasOCGT	4	1	0.8499999999999984
France	GasOCGT	4	1	0.8499999999999984
Germany	GasCCGT	4	1	0.8499999999999984
Denmark	GasCCGT	4	1	0.8499999999999984
France	GasCCGT	4	1	0.8499999999999984
Germany	GasCCSadv	4	1	0.8499999999999984
Denmark	GasCCSadv	4	1	0.8499999999999984
France	GasCCSadv	4	1	0.8499999999999984
Germany	Oilexisting	4	1	0.8499999999999984
Denmark	Oilexisting	4	1	0.8499999999999984
France	Oilexisting	4	1	0.8499999999999984
Germany	Bioexisting	4	1	0.8000000000000006
Denmark	Bioexisting	4	1	0.8000000000000006
France	Bioexisting	4	1	0.8000000000000006
Germany	Bio10cofiring	4	1	0.8000000000000006
Denmark	Bio10cofiring	4	1	0.8000000000000006
