Country,Energy_Type,Period,Type,Value
France,Windonshore,2,Generation,0.17045435947855048
France,Windonshore,3,Generation,1.4585974023690522
France,Windonshore,4,Generation,0.0004523638781127706
France,Windonshore,5,Generation,289784.6473777728
France,Windonshore,6,Generation,76944.08552490777
France,Windonshore,7,Generation,208928.9199981195
France,Windonshore,8,Generation,13795.13043531811
Germany,Windoffshore,1,Generation,0.0
Germany,Windoffshore,2,Generation,0.0
Germany,Windoffshore,3,Generation,0.0
Germany,Windoffshore,4,Generation,0.0
Germany,Windoffshore,5,Generation,0.0
Germany,Windoffshore,6,Generation,2259.577330220815
Germany,Windoffshore,7,Generation,0.004992399602407832
Germany,Windoffshore,8,Generation,0.018831412667657116
Denmark,Windoffshore,1,Generation,0.058851847027199256
Denmark,Windoffshore,2,Generation,0.0008326907704199871
Denmark,Windoffshore,3,Generation,0.014467689762632902
Denmark,Windoffshore,4,Generation,0.16744522266460427
Denmark,Windoffshore,5,Generation,0.07541801987222645
Denmark,Windoffshore,6,Generation,85.64367362064714
Denmark,Windoffshore,7,Generation,11489.60197959645
Denmark,Windoffshore,8,Generation,1.5073389855716375
France,Windoffshore,1,Generation,2.7046976060623202
France,Windoffshore,2,Generation,0.011497663295875262
France,Windoffshore,3,Generation,92.25531878818315
France,Windoffshore,4,Generation,20733.347907540807
France,Windoffshore,5,Generation,0.0007374674672960478
France,Windoffshore,6,Generation,37071.800827185565
France,Windoffshore,7,Generation,0.006906096159615582
France,Windoffshore,8,Generation,1.2911480967453908
Germany,Solar,1,Generation,0.28040165906134645
Germany,Solar,2,Generation,0.0014460848632563538
Germany,Solar,3,Generation,1.1807115265586914
Germany,Solar,4,Generation,198844.62727281192
Germany,Solar,5,Generation,499999.0586982252
Germany,Solar,6,Generation,499996.31153536413
Germany,Solar,7,Generation,174158.70784337408
Germany,Solar,8,Generation,1.2728118816354899
Denmark,Solar,1,Generation,0.005872866631079887
Denmark,Solar,2,Generation,0.5667608146655352
Denmark,Solar,3,Generation,3.6370472906223097
Denmark,Solar,4,Generation,0.044298454049304645
Denmark,Solar,5,Generation,1.0574113545818162
Denmark,Solar,6,Generation,3.3334173576816934
Denmark,Solar,7,Generation,76976.17801796155
Denmark,Solar,8,Generation,4.83311486749442
France,Solar,1,Generation,0.016502442735366413
France,Solar,2,Generation,0.5006573789042641
France,Solar,3,Generation,2895.106252895216
France,Solar,4,Generation,0.008301826448356758
France,Solar,5,Generation,186079.288847325
France,Solar,6,Generation,27658.06733983265
France,Solar,7,Generation,166591.85412679357
France,Solar,8,Generation,0.05913244972534715
Germany,Bio10cofiringCCS,1,Generation,0.0
Germany,Bio10cofiringCCS,2,Generation,0.0
Germany,Bio10cofiringCCS,3,Generation,0.0
Germany,Bio10cofiringCCS,4,Generation,0.0
Germany,Bio10cofiringCCS,5,Generation,0.0
Germany,Bio10cofiringCCS,6,Generation,0.0
Germany,Bio10cofiringCCS,7,Generation,0.0
Germany,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
France,Bio10cofiringCCS,1,Generation,0.0
France,Bio10cofiringCCS,2,Generation,0.0
France,Bio10cofiringCCS,3,Generation,0.0
France,Bio10cofiringCCS,4,Generation,0.0
France,Bio10cofiringCCS,5,Generation,0.0
France,Bio10cofiringCCS,6,Generation,0.0
France,Bio10cofiringCCS,7,Generation,0.0
France,Bio10cofiringCCS,8,Generation,0.0
Germany,LigniteCCSsup,1,Generation,0.0
Germany,LigniteCCSsup,2,Generation,0.0
Germany,LigniteCCSsup,3,Generation,0.0
Germany,LigniteCCSsup,4,Generation,0.0
Germany,LigniteCCSsup,5,Generation,0.0
Germany,LigniteCCSsup,6,Generation,0.0
Germany,LigniteCCSsup,7,Generation,0.0
Germany,LigniteCCSsup,8,Generation,0.0
Germany,CoalCCS,1,Generation,0.0
Germany,CoalCCS,2,Generation,0.0
Germany,CoalCCS,3,Generation,0.0
Germany,CoalCCS,4,Generation,0.0
Germany,CoalCCS,5,Generation,0.0
Germany,CoalCCS,6,Generation,0.0
Germany,CoalCCS,7,Generation,0.0
Germany,CoalCCS,8,Generation,0.0
France,CoalCCS,1,Generation,0.0
France,CoalCCS,2,Generation,0.0
France,CoalCCS,3,Generation,0.0
France,CoalCCS,4,Generation,0.0
France,CoalCCS,5,Generation,0.0
France,CoalCCS,6,Generation,0.0
France,CoalCCS,7,Generation,0.0
France,CoalCCS,8,Generation,0.0
Germany,GasCCS,1,Generation,0.0
Germany,GasCCS,2,Generation,0.0
Germany,GasCCS,3,Generation,0.0
Germany,GasCCS,4,Generation,0.0
Germany,GasCCS,5,Generation,0.0
Germany,GasCCS,6,Generation,0.0
Germany,GasCCS,7,Generation,0.0
Germany,GasCCS,8,Generation,0.0
France,GasCCS,1,Generation,0.0
France,GasCCS,2,Generation,0.0
France,GasCCS,3,Generation,0.0
France,GasCCS,4,Generation,0.0
France,GasCCS,5,Generation,0.0
France,GasCCS,6,Generation,0.0
France,GasCCS,7,Generation,0.0
France,GasCCS,8,Generation,0.0
Germany,Waste,1,Generation,269.3980692074467
Germany,Waste,2,Generation,0.021263557186124733
Germany,Waste,3,Generation,4.492926467932035
Germany,Waste,4,Generation,0.07020723210848433
Germany,Waste,5,Generation,269.4632391089173
Germany,Waste,6,Generation,0.13107552980180026
Germany,Waste,7,Generation,4.441844110606117
Germany,Waste,8,Generation,0.07348322150412796
Denmark,Waste,1,Generation,0.0
Denmark,Waste,2,Generation,0.0
Denmark,Waste,3,Generation,0.0
Denmark,Waste,4,Generation,0.0
Denmark,Waste,5,Generation,0.0
Denmark,Waste,6,Generation,0.0
Denmark,Waste,7,Generation,0.0
Denmark,Waste,8,Generation,0.0
France,Waste,1,Generation,3.235869000861271
France,Waste,2,Generation,40.14671123081597
France,Waste,3,Generation,0.4330620619871858
France,Waste,4,Generation,0.003854672624928487
France,Waste,5,Generation,0.0003170898907081885
France,Waste,6,Generation,0.0011916392308516988
France,Waste,7,Generation,0.0017073670551788645
France,Waste,8,Generation,0.003385376438539779
Denmark,Germany,1,Transmission,0.0
Denmark,Germany,2,Transmission,1997.9769793158248
Denmark,Germany,3,Transmission,0.7215278297062959
Denmark,Germany,4,Transmission,0.21554667189183574
Denmark,Germany,5,Transmission,0.3067290719745026
Denmark,Germany,6,Transmission,0.6490206944013835
Denmark,Germany,7,Transmission,0.0016600838740397216
Denmark,Germany,8,Transmission,0.0019355928068232413
France,Germany,1,Transmission,0.0
France,Germany,2,Transmission,0.0
France,Germany,3,Transmission,1799.0934824849464
France,Germany,4,Transmission,0.21053689167669046
France,Germany,5,Transmission,0.0020820953669787017
France,Germany,6,Transmission,0.32539782688289426
France,Germany,7,Transmission,0.0010352011586976385
France,Germany,8,Transmission,0.0009438651148098356
Germany,HydroPumpStorage,1,Storage Power,0.010654849726051907
Germany,HydroPumpStorage,2,Storage Power,9.852308488906002e-05
Germany,HydroPumpStorage,3,Storage Power,0.0029322679527039697
Germany,HydroPumpStorage,4,Storage Power,0.03806909323183017
Germany,HydroPumpStorage,5,Storage Power,0.024170353609863065
Germany,HydroPumpStorage,6,Storage Power,0.011595255439931958
Germany,HydroPumpStorage,7,Storage Power,0.0007008250696091983
Germany,HydroPumpStorage,8,Storage Power,0.06530002342371428
Germany,Li-Ion_BESS,1,Storage Power,32.633879538416046
Germany,Li-Ion_BESS,2,Storage Power,4432.410412615319
Germany,Li-Ion_BESS,3,Storage Power,1.3878293209851553
Germany,Li-Ion_BESS,4,Storage Power,47085.99985554917
Germany,Li-Ion_BESS,5,Storage Power,179249.8212197535
Germany,Li-Ion_BESS,6,Storage Power,249999.99005795585
Germany,Li-Ion_BESS,7,Storage Power,206066.18834997035
Germany,Li-Ion_BESS,8,Storage Power,249995.52329571947
Denmark,Li-Ion_BESS,1,Storage Power,23.96704535224516
Denmark,Li-Ion_BESS,2,Storage Power,57.707277508849195
Denmark,Li-Ion_BESS,3,Storage Power,166.18387876317436
Denmark,Li-Ion_BESS,4,Storage Power,90.68969084220367
Denmark,Li-Ion_BESS,5,Storage Power,6.963061052266307
Denmark,Li-Ion_BESS,6,Storage Power,645.826347087066
Denmark,Li-Ion_BESS,7,Storage Power,1442.9381094312475
Denmark,Li-Ion_BESS,8,Storage Power,87.43391809749761
France,HydroPumpStorage,1,Storage Power,0.035835911343383486
France,HydroPumpStorage,2,Storage Power,2511.4476313087744
France,HydroPumpStorage,3,Storage Power,0.04113339947976216
France,HydroPumpStorage,4,Storage Power,0.0013156786397821938
