seed,num_of_sce,runtime,lower_bound,upper_bound
12,5,600,1999975388211.317,2042532029739.4814
13,5,600,1974318424973.0847,2023338913223.5076
15,5,600,1964181972264.036,2009053744201.709
19,5,600,1967788460253.983,2014089128972.504
16,5,600,1924185313856.565,1966997133995.6865
18,5,600,1932476670892.0806,1982005839826.9932
17,5,600,1930257756523.9097,1979904215038.7268
20,5,600,1956414462336.6938,2005641623011.3635
14,5,1800,1964797367442.1384,2007714223460.5288
12,5,1800,1999975388211.317,2040710619628.1348
13,5,1800,1974318424973.0847,2021319631909.7668
11,5,1800,2011864779374.0923,2059011431972.7837
15,5,1800,1964181972264.036,2007402294523.8132
19,5,1800,1967788460253.983,2011619747772.4648
16,5,1800,1924185313856.565,1965716237772.5215
18,5,1800,1932476670892.0806,1980608740555.5022
17,5,1800,1930257756523.9097,1978276055198.458
20,5,1800,1956414462336.6938,2004773714444.2175
13,5,3600,1974318424973.0847,2020661738467.5747
12,5,3600,1999975388211.317,2039777776313.6826
14,5,3600,1964797367442.1384,2007384461053.4185
11,5,3600,2011864779374.0923,2058670897170.8674
15,5,3600,1964181972264.036,2007065910290.103
16,5,3600,1924185313856.565,1965370578926.675
19,5,3600,1967788460253.983,2011076456084.968
18,5,3600,1932476670892.0806,1980066206393.48
17,5,3600,1930257756523.9097,1978030435146.9626
20,5,3600,1956414462336.6938,2004573960372.9023
11,10,60,1986276818124.2905,2410498565401.7793
12,10,60,1998506141003.9805,2354850084771.7363
14,10,60,1942305856983.79,2314483750910.0327
13,10,60,1954971196589.6982,2311829592002.6313
15,10,60,1951253197910.308,2280004029687.174
16,10,60,1960240199578.2188,2341042749652.4165
18,10,60,1960388232494.9756,2348733153846.26
17,10,60,1958887171606.3457,2309639816760.7246
19,10,60,1981822501876.2183,2350074871577.676
20,10,60,1969704124211.1484,2316123382859.7188
11,10,300,1986276818124.2905,2046779139207.8643
12,10,300,1998506141003.9805,2051724232018.3967
13,10,300,1954971196589.6982,2014568736786.6821
