Country,Energy_Type,Period,Type,Value
Germany,Bioexisting,3,Generation,0.0
Germany,Bioexisting,4,Generation,0.0
Germany,Bioexisting,5,Generation,0.0
Germany,Bioexisting,6,Generation,0.0
Germany,Bioexisting,7,Generation,0.0
Germany,Bioexisting,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
France,Bioexisting,1,Generation,0.0
France,Bioexisting,2,Generation,0.0
France,Bioexisting,3,Generation,0.0
France,Bioexisting,4,Generation,0.0
France,Bioexisting,5,Generation,0.0
France,Bioexisting,6,Generation,0.0
France,Bioexisting,7,Generation,0.0
France,Bioexisting,8,Generation,0.0
Germany,Bio10cofiring,1,Generation,66797.13063875743
Germany,Bio10cofiring,2,Generation,133194.54127173373
Germany,Bio10cofiring,3,Generation,8.18262420263859
Germany,Bio10cofiring,4,Generation,0.012431501589518407
Germany,Bio10cofiring,5,Generation,0.1172301618540822
Germany,Bio10cofiring,6,Generation,0.012663554398816163
Germany,Bio10cofiring,7,Generation,0.002787056714224906
Germany,Bio10cofiring,8,Generation,0.0007185632161308016
Denmark,Bio10cofiring,1,Generation,9.690644860569016
Denmark,Bio10cofiring,2,Generation,0.6709202865092048
Denmark,Bio10cofiring,3,Generation,0.020679686632688484
Denmark,Bio10cofiring,4,Generation,1.3364801333053138
Denmark,Bio10cofiring,5,Generation,0.4502872003867352
Denmark,Bio10cofiring,6,Generation,0.5521240288999401
Denmark,Bio10cofiring,7,Generation,0.7005735636896657
Denmark,Bio10cofiring,8,Generation,2.423990358852961
France,Bio10cofiring,1,Generation,75616.39623915544
France,Bio10cofiring,2,Generation,113028.84413568923
France,Bio10cofiring,3,Generation,0.22081930228847366
France,Bio10cofiring,4,Generation,0.21887486372975215
France,Bio10cofiring,5,Generation,0.015980592371012604
France,Bio10cofiring,6,Generation,0.028107843488498114
France,Bio10cofiring,7,Generation,0.05434721947095021
France,Bio10cofiring,8,Generation,0.20984755804262667
Germany,Nuclear,1,Generation,0.0
Germany,Nuclear,2,Generation,0.0
Germany,Nuclear,3,Generation,0.0
Germany,Nuclear,4,Generation,0.0
Germany,Nuclear,5,Generation,0.0
Germany,Nuclear,6,Generation,0.0
Germany,Nuclear,7,Generation,0.0
Germany,Nuclear,8,Generation,0.0
France,Nuclear,1,Generation,0.21285070644080406
France,Nuclear,2,Generation,0.034287509115542285
France,Nuclear,3,Generation,0.03107001081793844
France,Nuclear,4,Generation,0.04385418621323908
France,Nuclear,5,Generation,0.14087187885749963
France,Nuclear,6,Generation,1.4403208032846204
France,Nuclear,7,Generation,17.291583664539235
France,Nuclear,8,Generation,0.024589551940494822
France,Wave,1,Generation,0.018896661725563035
France,Wave,2,Generation,0.0001305994070592365
France,Wave,3,Generation,0.022908420564604487
France,Wave,4,Generation,0.0009957207603692897
France,Wave,5,Generation,0.447717644025834
France,Wave,6,Generation,203.74352939844582
France,Wave,7,Generation,1.9335574893403753
France,Wave,8,Generation,0.015498865860158592
Germany,Geo,1,Generation,8.45087333445349e-05
Germany,Geo,2,Generation,0.00036099720645954147
Germany,Geo,3,Generation,0.06998956135408321
Germany,Geo,4,Generation,0.0012901216415362507
Germany,Geo,5,Generation,241.9135765732865
Germany,Geo,6,Generation,0.009629908554596302
Germany,Geo,7,Generation,0.00249905462151077
Germany,Geo,8,Generation,0.00013643697728864054
France,Geo,1,Generation,0.9210309260448271
France,Geo,2,Generation,0.1543520710545901
France,Geo,3,Generation,1.4449739875515717
France,Geo,4,Generation,0.042643297518181314
France,Geo,5,Generation,5.573008959529159
France,Geo,6,Generation,70.70133675281294
France,Geo,7,Generation,2.044265871550355
France,Geo,8,Generation,0.08895245514664332
Germany,Hydroregulated,1,Generation,0.009418197470949963
Germany,Hydroregulated,2,Generation,0.00019228983818696298
Germany,Hydroregulated,3,Generation,0.0009108929865508141
Germany,Hydroregulated,4,Generation,0.011596918506010252
Germany,Hydroregulated,5,Generation,0.008169137778827322
Germany,Hydroregulated,6,Generation,0.007111954730963679
Germany,Hydroregulated,7,Generation,0.016770101697396452
Germany,Hydroregulated,8,Generation,0.05097997691624295
France,Hydroregulated,1,Generation,0.015364290849902318
France,Hydroregulated,2,Generation,0.02141680143497494
France,Hydroregulated,3,Generation,0.004815483439271448
France,Hydroregulated,4,Generation,0.02281251506734218
France,Hydroregulated,5,Generation,0.028862171888100682
France,Hydroregulated,6,Generation,0.04293727491921535
France,Hydroregulated,7,Generation,0.06739857332393921
France,Hydroregulated,8,Generation,0.028033296998071226
Germany,Hydrorun-of-the-river,1,Generation,0.012414210897986777
Germany,Hydrorun-of-the-river,2,Generation,0.04299116861980004
Germany,Hydrorun-of-the-river,3,Generation,432.79560038910574
Germany,Hydrorun-of-the-river,4,Generation,0.012254569824632137
Germany,Hydrorun-of-the-river,5,Generation,0.3954111667334311
Germany,Hydrorun-of-the-river,6,Generation,0.0018113897142267524
Germany,Hydrorun-of-the-river,7,Generation,0.010570460530631078
Germany,Hydrorun-of-the-river,8,Generation,0.0003606291022848543
Denmark,Hydrorun-of-the-river,1,Generation,0.00014693239060115104
Denmark,Hydrorun-of-the-river,2,Generation,0.022439927608014654
Denmark,Hydrorun-of-the-river,3,Generation,0.0025965040022849456
Denmark,Hydrorun-of-the-river,4,Generation,0.006620537831634118
Denmark,Hydrorun-of-the-river,5,Generation,1.0744010396235244
Denmark,Hydrorun-of-the-river,6,Generation,0.34355125060486336
Denmark,Hydrorun-of-the-river,7,Generation,0.035251769958044445
Denmark,Hydrorun-of-the-river,8,Generation,0.03449986817392347
France,Hydrorun-of-the-river,1,Generation,4688.538530066304
France,Hydrorun-of-the-river,2,Generation,0.09235467842816741
